STATION,ICAO,L,AT,,LO,NG,,ELEV,M
DUBROVNIK-CILIPI,LDDU,42,34,N,18,16,E,165,X
DUBUQUE,KDBQ,42,24,N,90,42,W,326,X
DUESSELDORF,EDDL,51,16,N,6,46,E,44,X
DUGWAY PRVG GROU,KDPG,40,12,N,112,55,W,1326,X
DUKE FLD/EGLIN,KEGI,30,38,N,86,31,W,59,X
DULUTH,KDLH,46,51,N,92,12,W,435,X
DULUTH (SKY HARB,KDYT,46,43,N,92,2,W,186,X
DUMAGUETE/NEGROS,RPVD,9,20,N,123,18,E,8,X
DUMAS/MOORE CTY,KDUX,35,51,N,102,1,W,1129,X
DUNCAN,KDUC,34,28,N,97,58,W,339,X
DUNDAS,BGDU,76,30,N,69,0,W,20,X
DUNDEE,FADD,28,10,S,30,13,E,1286,X
DUNDEE/RIVERSIDE,EGPN,56,27,N,3,1,W,4,X
DUNEDIN AIRPORT,NZDN,45,55,S,170,11,E,2,X
DUNKIRK,KDKK,42,30,N,79,17,W,202,X
DUNNOTTAR (SAAF),FADR,26,21,S,28,28,E,1620,X
DURANGO,KDRO,37,9,N,107,46,W,2035,X
DURANGO AIRPORT,MMDO,24,7,N,104,31,W,1857,X
DURANT,KDUA,33,57,N,96,24,W,213,X
DURAZNO/SANTA BE,SUDU,33,21,S,56,30,W,93,X
DURBAN SHAKA,FALE,29,37,S,31,7,E,109,X
DURBAN/LOUIS BOT,FADN,29,58,S,30,56,E,8,X
DURBAN/VIRGINIA,FAVG,29,46,S,31,4,E,6,X
DURNACOL,FADH,28,7,S,29,58,E,1500,X
DUSHANBE,UTDD,38,32,N,68,49,E,803,X
DUTCH HARBOR,PADU,53,54,N,166,32,W,4,X
DYERSBURG,KDYR,36,0,N,89,24,W,103,X
DYESS AFB/ABILEN,KDYS,32,25,N,99,50,W,545,X
DZAOUDZI/PAMANZI,FMCZ,12,48,S,45,16,E,7,X
DZIZAK,UTED,40,7,N,67,49,E,345,X
E BREAKS 165,KEMK,27,49,N,94,19,W,26,X
E BREAKS BOOMVNG,KVAF,27,21,N,94,38,W,46,X
E CAMERON 47JP,KCMB,29,26,N,92,59,W,29,X
E CAMERON278OILP,KEHC,28,26,N,92,53,W,31,X
E. CAMERON 346,KE12,28,4,N,92,42,W,1,X
EAGLE,PAEG,64,47,N,141,9,W,268,X
EAGLE BUTTE,K84D,44,59,N,101,15,W,746,X
EAGLE CO. REGION,KEGE,39,38,N,106,55,W,1993,X
EAGLE RIVER,KEGV,45,55,N,89,16,W,500,X
EAR FALLS (AUT),CXEA,50,38,N,93,13,W,355,X
EARECKSON/SHEMYA,PASY,52,43,N,174,7,E,31,X
EARLTON,CZXR,47,42,N,79,50,W,243,X
EARLTON AIRPORT,CYXR,47,42,N,79,50,W,243,X
EAST HAMPTON,KHTO,40,57,N,72,15,W,17,X
EAST LONDON/SCHO,FAEL,33,1,S,27,49,E,125,X
EAST MIDLANDS,EGNX,52,49,N,1,19,W,94,X
EAST MILTON,KMQE,42,13,N,71,7,W,199,X
EAST POINT (MARS,CWEP,46,27,N,61,58,W,11,X
EAST SALE (AUS-A,YMES,38,6,S,147,7,E,8,X
EASTEND CYPRESS,CWEH,49,25,N,108,58,W,1078,X
EASTER ISLAND,SCIP,27,10,S,109,26,W,69,X
EASTMAIN RIVER A,CZEM,52,13,N,78,31,W,7,X
EASTMAN,KEZM,32,13,N,83,8,W,93,X
EASTON/NEWNAM,KESN,38,48,N,76,4,W,22,X
EASTPORT,KEPM,44,55,N,67,1,W,14,X
EASTSOUND/ORCAS,KORS,48,42,N,122,55,W,9,X
EAU CLAIRE,KEAU,44,52,N,91,28,W,276,X
EBINI,,5,34,N,57,47,W,29,X
EBOLOWA,FKKW,2,53,N,11,10,E,628,X
EDENTON,KEDE,36,1,N,76,34,W,6,X
EDGEMONT US18,KED0,43,17,N,103,53,W,1136,X
EDINBURG INTL,KEBG,26,27,N,98,8,W,24,X
EDINBURGH (AUS-A,YPED,34,42,S,138,37,E,20,X
EDINBURGH AIRPOR,EGPH,55,57,N,3,21,W,41,X
EDMONTON INTL AR,CYEG,53,17,N,113,34,W,723,X
EDMONTON INTL AR,CXEG,53,18,N,113,36,W,715,X
EDMONTON MUNI,CXEC,53,34,N,113,31,W,671,X
EDMONTON MUNICIP,CYXD,53,34,N,113,31,W,671,X
EDMONTON/NAMAO(M,CYED,53,40,N,113,28,W,688,X
EDMONTON/STONY P,CZED,53,33,N,114,6,W,766,X
EDMONTON/STONY P,CXPS,53,33,N,114,6,W,766,X
EDMUNSTON,CERM,47,25,N,68,19,W,154,X
EDSON,CZZJ,53,35,N,116,28,W,927,X
EDSON AIRPORT,CYET,53,34,N,116,28,W,925,X
EDUARDO GOMES IN,SBEG,3,1,S,60,2,W,2,X
EDWARDS AFB,KEDW,34,53,N,117,52,W,702,X
EDWARDS N-AUX,K9L2,34,58,N,117,52,W,701,X
EDWIN ANDREWS AB,KQEA,6,56,N,122,4,E,10,X
EENHANA,FYEN,17,29,S,16,19,E,1116,X
EFFINGHAM,K1H2,39,4,N,88,32,W,179,X
EGBERT (MAPS),CWET,44,14,N,79,47,W,251,X
EGBERT CS,CXET,44,14,N,79,47,W,251,X
EGEDESMINDE/AUSI,BGEM,68,42,N,52,45,W,47,X
EGEGIK,PAII,58,11,N,157,23,W,30,X
EGELSBACH,EDFE,49,58,N,8,38,E,118,X
EGG ISLAND,CWEM,51,15,N,127,49,W,14,X
EGGEBEK (GER-NAV,ETME,54,37,N,9,20,E,22,X
EGILSSTADIR,BIEG,65,16,N,14,24,W,38,X
EGLIN AFB/VALPAR,KVPS,30,28,N,86,31,W,26,X
EGLINTON/LONDOND,EGAE,55,2,N,7,9,W,9,X
EIELSON AFB,PAEI,64,40,N,147,6,W,167,X
EIL,HCME,7,57,N,49,46,E,36,X
EINDHOVEN RNLAFB,EHEH,51,27,N,5,23,E,22,X
EIRUNEPE,SBER,6,40,S,69,52,W,104,X
EKALAKA,K97M,45,53,N,104,32,W,1068,X
EKATERINBURG,USSS,56,45,N,60,48,E,233,X
EKATERINBURG,,56,50,N,60,38,E,280,X
EKATI (PWS),CYOA,64,42,N,110,37,W,469,X
EKIMCAN,UHBP,53,4,N,132,55,E,543,X
EKOFISK OIL PLTF,ENEK,56,32,N,3,15,E,3,X
EL AAIUN,GSAI,27,8,N,13,11,W,63,X
EL ARISH,HEAR,31,4,N,33,49,E,32,X
EL BANCO/LAS FLO,SKBC,9,4,N,73,58,W,34,X
EL BELLOTO (MIL),SCBL,33,2,S,71,25,W,123,X
EL BOLSON AERO,SAVB,41,58,S,71,31,W,337,X
EL BORMA,DTTR,31,42,N,9,16,E,259,X
EL BOSQUE (MIL),SCBQ,33,34,S,70,40,W,573,X
EL BUR,HCML,4,42,N,46,37,E,175,X
EL CATEY INTL,MDCY,19,16,N,69,44,W,10,X
EL CENTRO NAF,KNJK,32,49,N,115,40,W,-13,X
EL DORADO,KELD,33,13,N,92,49,W,81,X
EL FASHER,HSFS,13,37,N,25,19,E,730,X
EL GOLEA,DAUE,30,34,N,2,52,E,397,X
EL LIBERTADOR (A,SVBL,10,10,N,67,32,W,442,X
EL MAITEN,SAVD,42,1,S,71,10,W,720,X
EL MONTE,KEMT,34,4,N,118,1,W,90,X
EL OBEID,HSOB,13,10,N,30,13,E,574,X
EL OUED/GUEMER,DAUO,33,30,N,6,47,E,63,X
EL PALOMAR AIRPO,SADP,34,36,S,58,36,W,12,X
EL PASO,KELP,31,49,N,106,23,W,1197,X
EL PORVENIR,MPVR,9,11,N,80,7,W,2,X
EL RENO MUNI,KRQO,35,28,N,98,0,W,432,X
EL SALVADOR INT,MSLP,13,26,N,89,3,W,25,X
EL TARI,WATT,10,10,S,123,40,E,102,X
EL TEHUELCHE,SAVY,42,46,S,65,6,W,136,X
EL TOR,HETR,28,13,N,33,39,E,35,X
EL TURBIO/RIO TU,SAWT,51,36,S,72,13,W,273,X
EL VIGIA/PEREZ A,SVVG,8,37,N,71,40,W,100,X
ELAT/J. HOZMAN(A,LLET,29,33,N,34,57,E,13,X
ELAZIG (CIV/MIL),LTCA,38,36,N,39,16,E,882,X
ELBERTON PATZ F,K27A,34,6,N,82,49,W,184,X
ELBOW (MARS),CWOK,51,7,N,106,34,W,595,X
ELBOW LAKE MUNI,KY63,45,59,N,96,0,W,367,X
ELDORET,HKEL,0,24,N,35,16,E,2133,X
ELEFSIS (HEL-AFB,LGEL,38,4,N,23,33,E,31,X
ELFIN COVE,PAEL,58,12,N,136,21,W,3,X
ELIM APRT,PFEL,64,37,N,162,16,W,49,X
ELISTA,URWI,46,22,N,44,20,E,150,X
ELIZABETH CITY,KECG,36,16,N,76,11,W,11,X
ELIZABETHTON,K0A9,36,22,N,82,10,W,486,X
ELIZABETHTOWN,KEYF,34,36,N,78,35,W,41,X
ELK MOUNTAIN,KEHY,41,44,N,106,28,W,2225,X
ELKHART,KEHA,37,0,N,101,54,W,1099,X
ELKHART MUNICIPA,KEKM,41,43,N,86,0,W,237,X
ELKINS,KEKN,38,53,N,79,51,W,603,X
ELKO,KEKO,40,50,N,115,47,W,1547,X
ELLENSBURG,KELN,47,2,N,120,32,W,519,X
ELLICOTT-B AFA,KABH,38,45,N,104,18,W,1840,X
ELLIOT,FAET,31,18,S,27,51,E,1533,X
ELLIOT LAKE (SAW,CYEL,46,21,N,82,34,W,329,X
ELLISRAS,FAER,23,44,S,27,41,E,839,X
ELLSWORTH,K9K7,38,45,N,98,14,W,492,X
ELLSWORTH AFB,KRCA,44,8,N,103,5,W,999,X
ELLSWORTH I90,KEL0,44,7,N,103,5,W,939,X
ELMENDORF AFB,PAED,61,15,N,149,48,W,59,X
ELMIRA,KELM,42,9,N,76,54,W,302,X
ELORA RCS,CZEL,43,39,N,80,25,W,376,X
ELSENBORN (MIL),EBLB,50,28,N,6,10,E,570,X
ELY,KELY,39,18,N,114,51,W,1906,X
ELY MUNI,KELO,47,49,N,91,49,W,443,X
EMBAKASI,KQEB,1,18,S,36,55,E,1633,X
EMBU,HKEM,0,34,S,37,29,E,1493,X
EMDEN-KOENIGSPO,EDWE,53,21,N,7,13,E,5,X
EMERSON,CWEX,49,0,N,97,14,W,242,X
EMIGRANT GAP,KBLU,39,17,N,120,42,W,1609,X
EMMEN,LSME,47,6,N,8,18,E,427,X
EMMONAK,PAEM,62,46,N,164,31,W,3,X
EMPORIA,KEMP,38,20,N,96,12,W,367,X
EMPORIA,KEMV,36,41,N,77,29,W,39,X
ENAROTALI,WABT,3,55,S,136,22,E,1770,X
ENCARNACION,SGEN,27,19,S,55,49,W,91,X
ENCHANT AGDM,CPEH,50,11,N,112,26,W,801,X
ENDEH/IPI,WRKE,8,48,S,121,35,E,3,X
ENDICOTT/TRI-CIT,KCZG,42,5,N,76,6,W,254,X
ENEWETAK/MARSHAL,ENIP,11,22,N,162,22,E,2,X
ENFIDHA,DTNH,36,4,N,10,26,E,2,X
ENGLEE (MAPS),CWDA,50,43,N,56,7,W,29,X
ENID/VANCE AFB,KEND,36,19,N,97,55,W,398,X
ENID/WOODRING,KWDG,36,22,N,97,46,W,356,X
ENIWETOK AUX AF,PKMA,11,20,N,162,20,E,5,X
ENNA,LICE,37,34,N,14,16,E,965,X
ENNADAI LAKE (MA,CWJC,61,8,N,100,54,W,357,X
ENNIS BIG SKY,KEKS,45,16,N,111,39,W,1641,X
ENONTEKIO,EFET,68,22,N,23,26,E,306,X
ENRIQUE ADOLFO J,MPCF,9,20,N,79,52,W,8,X
ENTEBBE,KQUD,0,4,N,32,27,E,1149,X
ENTEBBE INTL ARP,HUEN,0,2,N,32,27,E,1155,X
ENTRANCE IL AUTO,CWEL,49,13,N,123,47,W,5,X
ENUGU,DNEN,6,28,N,7,32,E,137,X
EPHRATA,KEPH,47,18,N,119,31,W,383,X
ERBIL,KQNL,36,7,N,43,34,E,409,X
ERBIL INTL,ORER,36,14,N,43,58,E,409,X
ERCAN,LCEN,35,8,N,33,30,E,91,X
ERDING (GER-AFB),ETSE,48,19,N,11,56,E,467,X
ERFURT/BINDERSLE,EDDE,50,58,N,10,58,E,323,X
ERIE,KERI,42,5,N,80,11,W,222,X
ERIE MUNI,KEIK,40,1,N,105,3,W,1564,X
ERIEAU (MAPS),CWAJ,42,15,N,81,54,W,178,X
ERIGAVO,HCMU,10,37,N,47,22,E,1743,X
ERMELO,FAEO,26,30,S,29,58,E,1737,X
EROS AIRPORT,FYWE,22,37,S,17,5,E,1700,X
ER-RACHIDIA (RMA,GMFK,31,57,N,4,24,W,1045,X
ERWIN/HARNETT CO,KHRJ,35,23,N,78,44,W,60,X
ERZINCAN,LTCD,39,43,N,39,30,E,1215,X
ERZURUM (CIV/MIL,LTCE,39,57,N,41,10,E,1758,X
ESBJERG,EKEB,55,31,N,8,33,E,29,X
ESCANABA,KESC,45,45,N,87,5,W,187,X
ESEKA,FKKE,3,38,N,10,46,E,227,X
ESFAHAN S B INTL,OIFM,32,45,N,51,52,E,1542,X
ESHOWE,FAES,28,52,S,31,26,E,487,X
ESKAN VILLAGE,KQAS,24,34,N,46,51,E,9,X
ESKISEHIR (TUR-A,LTBI,39,46,N,30,34,E,785,X
ESMERALDAS-TACHI,SEES,0,58,N,79,37,W,8,X
ESQUEL AIRPORT,SAVE,42,54,S,71,9,W,794,X
ESQUIMALT METOC,CWPF,48,26,N,123,26,W,12,X
ESQUIPULAS,MGES,14,34,N,89,21,W,965,X
ESSAOUIRA,GMMI,31,31,N,9,46,W,8,X
ESTEVAN AIRPORT,CYEN,49,13,N,102,58,W,581,X
ESTEVAN PT. (MAR,CWEB,49,23,N,126,33,W,7,X
ESTHER 1,CWGY,51,40,N,110,12,W,707,X
ESTHERVILLE,KEST,43,24,N,94,45,W,401,X
EUFAULA,KEUF,31,57,N,85,8,W,87,X
EUGENE,KEUG,44,8,N,123,13,W,114,X
EUGENE I 215OILP,KEIR,28,38,N,91,29,W,28,X
EUGENE IS 330,K3B6,28,14,N,91,41,W,1,X
EULOGIO SANCHEZ,SCTB,33,27,S,70,32,W,649,X
EUREKA,PAZK,61,56,N,147,10,W,1003,X
EUREKA,K13K,37,51,N,96,18,W,369,X
EUREKA,K88M,48,58,N,115,5,W,814,X
EUREKA,K05U,39,36,N,116,0,W,1816,X
EUREKA,CWEU,80,0,N,85,55,W,10,X
EUREKA,CYEU,80,0,N,85,49,W,78,X
EUREKA/MURRAY,KEKA,40,48,N,124,10,W,18,X
EURO PLATFORM,EHSA,52,0,N,3,17,E,50,X
EVANSTON,KEVW,41,16,N,111,2,W,2177,X
EVANSVILLE,KEVV,38,3,N,87,31,W,117,X
EVELETH MUNI,KEVM,47,25,N,92,30,W,421,X
EVENES (CIV/MIL),ENEV,68,31,N,16,40,E,26,X
EVERETT,KPAE,47,55,N,122,17,W,180,X
EVERGLADES CITY,KEGC,25,51,N,81,23,W,2,X
EVERGREEN,KGZH,31,25,N,87,3,W,78,X
EVREUX/FAUVILLE,LFOE,49,1,N,1,13,E,146,X
EXETER AIRPORT,EGTE,50,43,N,3,25,W,30,X
EXUMA INTL,MYEF,23,34,N,75,53,W,3,X
F16-A    SEA,EHFZ,54,7,N,4,1,E,50,X
F3-FB-1  SEA,EHFD,54,51,N,4,42,E,50,X
FADA N'GOURMA,DFEF,12,1,N,0,22,E,309,X
FAGERNES/LEIRIN,ENFG,61,0,N,9,18,E,822,X
FAHUD (AUT),OOFD,22,21,N,56,28,E,170,X
FAIRBANKS,PAFA,64,48,N,147,53,W,132,X
FAIRCHILD AFB,KSKA,47,37,N,117,39,W,750,X
FAIRFIELD,KFFL,41,2,N,91,58,W,244,X
FAIRFIELD,KFWC,38,23,N,88,25,W,133,X
FAIRFORD,KQOF,51,41,N,1,47,W,87,X
FAIRFORD RAF,EGVA,51,40,N,1,46,W,87,X
FAIRHOPE,KCQF,30,28,N,87,53,W,28,X
FAIRMONT MUNI,KFRM,43,38,N,94,25,W,354,X
FAIRVIEW AGDM,CXFR,56,5,N,118,26,W,655,X
FAISALABAD INTL,OPFA,31,22,N,73,0,E,185,X
FAITH,KD07,45,2,N,102,1,W,784,X
FAIZABAD,OAFZ,37,7,N,70,31,E,1200,X
FAK-FAK/TOREA,WASF,2,52,S,132,15,E,130,X
FALCONARA (IT-AF,LIPY,43,37,N,13,22,E,10,X
FALEOLO INT/APIA,NSFA,13,50,S,172,0,W,5,X
FALFURRIAS,KBKS,27,12,N,98,7,W,34,X
FALLON NAS,KNFL,39,25,N,118,42,W,1199,X
FALLS CITY/BRENN,KFNB,40,4,N,95,35,W,300,X
FALMOUTH,KK62,38,42,N,84,24,W,274,X
FALMOUTH/OTIS AB,KFMH,41,38,N,70,31,W,40,X
FALSE PASS,PAKF,54,51,N,163,25,W,6,X
FANNING ISLAND,PLFA,3,51,N,159,22,W,5,X
FANNY ISLAND,CXFA,50,27,N,126,0,W,5,X
FARAFANGANA,FMSG,22,48,S,47,49,E,6,X
FARAH,OAFR,32,22,N,62,10,E,700,X
FARAH PRT,KQAR,32,22,N,62,11,E,668,X
FARANAH/BADALA,GUFH,10,1,N,10,45,W,459,X
FAREWELL LAKE,PAFK,62,32,N,153,36,W,321,X
FARGO,KFAR,46,56,N,96,49,W,277,X
FARIBAULT MUNI,KFBL,44,19,N,93,19,W,322,X
FARMINGDALE,KFRG,40,44,N,73,25,W,21,X
FARMINGTON,KFAM,37,46,N,90,25,W,288,X
FARMINGTON,KFMN,36,45,N,108,14,W,1685,X
FARMVILLE,KFVX,37,21,N,78,25,W,125,X
FARNBOROUGH,EGLF,51,17,N,0,46,W,65,X
FARNBOROUGH (MIL,EGUF,51,16,N,0,46,W,72,X
FARO,LPFR,37,1,N,7,58,W,4,X
FARO (MARS),CWUM,62,13,N,133,20,W,717,X
FARO APT ARTCC,CZFA,62,12,N,133,22,W,717,X
FASA,OISF,28,53,N,53,43,E,1383,X
FASSBERG (GER-AF,ETHS,52,55,N,10,10,E,88,X
FAULKTON,K3FU,45,2,N,99,7,W,478,X
FAYA-LARGEAU (MI,FTTY,18,0,N,19,10,E,234,X
FAYETTEVILLE,KFYV,36,1,N,94,10,W,379,X
FAYETTEVILLE,KFAY,34,59,N,78,53,W,55,X
FAYETTEVILLE,KFYM,35,4,N,86,34,W,300,X
FDR ARPT/ORANJES,TNCE,17,28,N,62,58,W,39,X
FENG NIN TW-AFB,RCFN,22,46,N,121,4,E,42,X
FENTRESS NAVAL,KNFE,36,42,N,76,8,W,5,X
FERGANA,UTFF,40,22,N,71,45,E,577,X
FERGUS FALLS,KFFM,46,16,N,96,9,W,361,X
FERKESSEDOUGOU,DIFK,9,35,N,5,12,W,323,X
FERN LUIS RIBAS,TJIG,18,27,N,66,6,W,3,X
FERNANDINA BEACH,KFHB,30,37,N,81,28,W,5,X
FERNANDO DE NORO,SBFN,3,51,S,32,25,W,56,X
FEROLLE PT. (MAP,CWXI,51,1,N,57,6,W,6,X
FERRARA (AUT),LIPF,44,49,N,11,37,E,10,X
FES-SAIS,GMFF,33,55,N,4,58,W,579,X
FEYZABAD,EQBF,37,7,N,70,34,E,1200,X
FIANARANTSOA,FMSF,21,26,S,47,6,E,1109,X
FICKSBURG,FAFB,28,49,S,27,55,E,1620,X
FIGARI (AUT),LFKF,41,30,N,9,5,E,23,X
FILADELFIA,SGFI,22,22,S,60,2,W,139,X
FILTON (PRIVATE),EGTG,51,31,N,2,34,W,69,X
FINCASTLE AGDM,CPFI,49,48,N,112,2,W,833,X
FINDERUP,KQKM,56,25,N,9,18,E,39,X
FINDLAY,KFDY,41,1,N,83,40,W,247,X
FIRENZE/PERETOLA,LIRQ,43,47,N,11,11,E,38,X
FIRST DIVIDE,KFIR,41,18,N,110,46,W,2294,X
FISHER BRANCH(MA,CWSZ,51,4,N,97,32,W,253,X
FITCHBURG,KFIT,42,33,N,71,45,W,103,X
FITZGERALD,KFZG,31,41,N,83,16,W,111,X
FLAG CITY,KFBC,41,1,N,83,40,W,247,X
FLAG ISLAND,KFGN,49,19,N,94,54,W,328,X
FLAGLER,KFLA,39,17,N,103,4,W,1507,X
FLAGSTAFF,KFLG,35,8,N,111,40,W,2134,X
FLAMINGO/MONROE,KFLM,25,8,N,80,55,W,2,X
FLIN FLON AIRPOR,CYFO,54,40,N,101,40,W,304,X
FLINT,KFNT,42,58,N,83,45,W,233,X
FLIPPIN (AWOS),KFLP,36,17,N,92,35,W,219,X
FLORA,KFOA,38,40,N,88,27,W,144,X
FLORALA MUNI,K0J4,31,3,N,86,19,W,96,X
FLORENCE,KFLO,34,11,N,79,44,W,44,X
FLORENCE MUNI,K6S2,43,59,N,124,7,W,16,X
FLORENCIA/CAPITO,SKFL,1,36,N,75,31,W,244,X
FLORENNES (BEL-A,EBFS,50,13,N,4,39,E,299,X
FLORES ISLAND,LPFL,39,27,N,31,7,W,29,X
FLORES/SANTA EL,MGFL,16,55,N,89,53,W,115,X
FLORIANOPOLIS AR,SBFL,27,40,S,48,32,W,5,X
FLORO,ENFL,61,34,N,5,1,E,9,X
FOB BAYLOUGH,KQYL,32,39,N,66,48,E,2222,X
FOB CHAMKANI,KQCK,33,48,N,69,49,E,1969,X
FOB COBRA,KQXF,34,13,N,45,8,E,125,X
FOB CONNOLLY,KQCN,34,15,N,70,10,E,1215,X
FOB DWYER,KQXT,31,6,N,64,5,E,722,X
FOB FRONTENAC,KQPD,31,52,N,65,50,E,1135,X
FOB GARY OWEN,KQXR,31,48,N,47,4,E,9,X
FOB KALAGUSH,KQQR,34,57,N,70,22,E,1078,X
FOB KUNDUZ,KQLY,36,40,N,68,54,E,446,X
FOB KUTSCHBACH,KQDP,34,51,N,69,39,E,1354,X
FOB LAGMAN,KQLT,32,8,N,66,54,E,1616,X
FOB RAMROD,KQDX,31,38,N,64,57,E,916,X
FOB SHANK,KQSN,33,56,N,69,4,E,2009,X
FOB SHINDAND,KQA4,33,24,N,62,15,E,1139,X
FOB SHUKVANI,KQSV,32,6,N,64,48,E,990,X
FOB SPIN BULDAK,KQSB,31,1,N,66,24,E,1224,X
FOB STONE,KQYU,34,7,N,62,13,E,1102,X
FOB TILLMAN,KQYK,32,55,N,69,27,E,1814,X
FOB TODD,KQTD,35,36,N,63,18,E,450,X
FOB TORKHAM,KQOW,34,7,N,71,3,E,680,X
FOB WAR HORSE,KQOL,33,45,N,44,36,E,46,X
FOB WARRIOR,KQC3,32,44,N,67,38,E,1987,X
FOB WILSON,KQWL,31,35,N,65,26,E,959,X
FOB WOLVERINE,KQSD,31,57,N,67,2,E,1896,X
FOGGIA/GINO LISA,LIBF,41,25,N,15,31,E,80,X
FOND DU LAC,KFLD,43,46,N,88,29,W,240,X
FONNI,LIEN,40,7,N,9,15,E,1029,X
FORDE/BRINGELAND,ENBL,61,24,N,5,46,E,150,X
FOREMOST AGDM,CXFM,49,29,N,111,29,W,881,X
FOREST CITY,KFXY,43,14,N,93,37,W,375,X
FORET MONTMORENC,CMFM,47,19,N,71,9,W,672,X
FORLI (CIV/IT-AF,LIPK,44,12,N,12,4,E,32,X
FORMOSA AIRPORT,SARF,26,13,S,58,13,W,60,X
FORQUILHINHA,SBCM,28,43,S,49,25,W,28,X
FORREST,YFRT,30,50,S,128,7,E,156,X
FORREST AIRPORT,YPFT,30,49,S,128,5,E,160,X
FORSYTH,K1S3,46,16,N,106,37,W,832,X
FORT BELVOIR/DAV,KDAA,38,43,N,77,10,W,21,X
FORT BLISS,KBIF,31,51,N,106,23,W,1203,X
FORT BRAGG/SIMMO,KFBG,35,7,N,78,55,W,74,X
FORT CARSON,KFCS,38,40,N,104,46,W,1789,X
FORT CHIPEWYAN A,CYPY,58,46,N,111,7,W,232,X
FORT DODGE,KFOD,42,32,N,94,10,W,355,X
FORT DRUM/WHEELE,KGTB,44,4,N,75,43,W,207,X
FORT FRANKLIN AR,CYWJ,65,12,N,123,25,W,176,X
FORT GOOD HOPE A,CYGH,66,16,N,128,37,W,66,X
FORT HUACHUCA,KFHU,31,35,N,110,21,W,1438,X
FORT KNOX/GODMAN,KFTK,37,53,N,85,58,W,230,X
FORT LEAVENWORTH,KFLV,39,22,N,94,55,W,235,X
FORT LEONARD WOO,KTBN,37,43,N,92,7,W,353,X
FORT LEWIS/GRAY,KGRF,47,4,N,122,34,W,92,X
FORT LIARD AIRPO,CYJF,60,13,N,123,28,W,215,X
FORT MADISON,KFSW,40,40,N,91,19,W,221,X
FORT MCMURRAY AR,CYMM,56,39,N,111,13,W,369,X
FORT MCMURRAY AR,CXMM,56,39,N,111,13,W,369,X
FORT MCPHERSON A,CZFM,67,24,N,134,52,W,43,X
FORT MEADE,KFME,39,5,N,76,46,W,46,X
FORT MORGAN,KFMM,40,20,N,103,48,W,1393,X
FORT MYERS,KRSW,26,32,N,81,45,W,10,X
FORT MYERS,KFMY,26,35,N,81,52,W,4,X
FORT NELSON AIRP,CYYE,58,49,N,122,34,W,382,X
FORT NORMAN AIRP,CZFN,64,55,N,125,34,W,98,X
FORT PIERCE,KFPR,27,30,N,80,23,W,13,X
FORT POLK FR,KPOE,31,3,N,93,12,W,101,X
FORT PORTAL,HUFP,0,40,N,30,16,E,1533,X
FORT PROVIDENCE,CWID,61,19,N,117,36,W,161,X
FORT RESOLUTION,CYFR,61,10,N,113,40,W,164,X
FORT RICHARDSON,PAFR,61,16,N,149,39,W,115,X
FORT RITCHIE,KJWX,39,43,N,77,25,W,84,X
FORT SCOTT,KFSK,37,48,N,94,46,W,280,X
FORT SILL,KFSI,34,39,N,98,24,W,362,X
FORT SIMPSON,CXFS,61,45,N,121,14,W,169,X
FORT SIMPSON,CZFS,61,46,N,121,14,W,168,X
FORT SIMPSON ARP,CYFS,61,45,N,121,13,W,169,X
FORT SMITH,KFSM,35,20,N,94,22,W,140,X
FORT SMITH,CZSM,60,2,N,111,56,W,203,X
FORT SMITH AIRPO,CYSM,60,2,N,111,58,W,203,X
FORT ST. JOHN AR,CYXJ,56,15,N,120,44,W,695,X
FORT STOCKTON,KFST,30,55,N,102,55,W,918,X
FORT VERMILLION,CXFV,58,23,N,116,2,W,289,X
FORT WAINWRIGHT,PAFB,64,50,N,147,37,W,137,X
FORT WAYNE,KFWA,40,59,N,85,11,W,248,X
FORT WORTH,KFTW,32,50,N,97,22,W,214,X
FORT WORTH NAS,KNFW,32,47,N,97,26,W,198,X
FORT WORTH/88D,KFWS,32,34,N,97,18,W,208,X
FORT YUKON,PFYU,66,34,N,145,16,W,131,X
FORTALEZA/PINTO,SBFZ,3,46,S,38,31,W,25,X
FORTUNA,KFOT,40,33,N,124,8,W,120,X
FOSSTON,KFSE,47,35,N,95,46,W,389,X
FOUNTAIN DALE,KRYT,39,44,N,77,26,W,274,X
FOURCHON (SAWRS),K9F2,29,6,N,90,12,W,2,X
FOURCHU HEAD(MAP,CWRW,45,43,N,60,13,W,10,X
FOZ DO IGUACU AR,SBFI,25,36,S,54,29,W,243,X
FRANCEVILLE/MVEN,FOON,1,38,S,13,25,E,441,X
FRANCISCO MENDES,GVFM,14,55,N,23,30,W,70,X
FRANCISTOWN,FBFT,21,10,S,27,30,E,1000,X
FRANKFORT,KFFT,38,11,N,84,54,W,236,X
FRANKFORT,KFKS,44,38,N,86,12,W,193,X
FRANKFORT,FAFF,27,16,S,28,30,E,1500,X
FRANKFURT MAIN A,EDDF,50,2,N,8,35,E,113,X
FRANKLIN,KFKL,41,22,N,79,52,W,469,X
FRANKLIN WILKINS,KM52,35,39,N,88,23,W,157,X
FRANKLIN/J B ROS,KFKN,36,42,N,76,54,W,12,X
FRANKTOWN,CXFT,45,2,N,76,6,W,122,X
FRASERBURG,FAFR,31,55,S,21,31,E,1267,X
FREDERICK,KFDK,39,25,N,77,22,W,92,X
FREDERICK,KFED,45,56,N,98,34,W,427,X
